time_s,time_min,Pbase_bar,liquid_level_m,riser_holdup,Qliq_out_kgs,stage
0.0,0.0,31.971555922384454,177.6,0.12,0.9724348863174751,1.0
20.0,0.3333333333333333,32.622746212421475,185.0665038994606,0.1250449350672031,0.9724348863174751,1.0
40.0,0.6666666666666666,33.2739365024585,192.5330077989212,0.13008987013440623,0.9724348863174751,1.0
60.0,1.0,33.92512679249552,199.9995116983818,0.13513480520160934,0.9724348863174751,1.0
80.0,1.3333333333333333,34.57631708253254,207.46601559784244,0.14017974026881247,0.9724348863174751,1.0
100.0,1.6666666666666667,35.22750737256956,214.93251949730305,0.14522467533601557,0.9724348863174751,1.0
120.0,2.0,35.878697662606584,222.39902339676365,0.15026961040321868,0.9724348863174751,1.0
140.0,2.3333333333333335,36.5298879526436,229.86552729622426,0.15531454547042178,0.9724348863174751,1.0
160.0,2.6666666666666665,37.18107824268062,237.33203119568486,0.16035948053762492,0.9724348863174751,1.0
180.0,3.0,37.83226853271765,244.7985350951455,0.16540441560482805,0.9724348863174751,1.0
200.0,3.3333333333333335,38.48345882275467,252.2650389946061,0.17044935067203115,0.9724348863174751,1.0
220.0,3.6666666666666665,39.13464911279169,259.7315428940667,0.17549428573923426,0.9724348863174751,1.0
240.0,4.0,39.78583940282871,267.1980467935273,0.18053922080643736,0.9724348863174751,1.0
260.0,4.333333333333333,40.43702969286573,274.6645506929879,0.1855841558736405,0.9724348863174751,1.0
280.0,4.666666666666667,41.08821998290275,282.13105459244855,0.19062909094084363,0.9724348863174751,1.0
300.0,5.0,41.73941027293977,289.5975584919091,0.1956740260080467,0.9724348863174751,1.0
320.0,5.333333333333333,42.39060056297679,297.06406239136976,0.20071896107524984,0.9724348863174751,1.0
340.0,5.666666666666667,43.04179085301382,304.5305662908304,0.20576389614245297,0.9724348863174751,1.0
360.0,6.0,43.69298114305084,311.99707019029097,0.21080883120965607,0.9724348863174751,1.0
380.0,6.333333333333333,44.34417143308785,319.46357408975155,0.21585376627685915,0.9724348863174751,1.0
400.0,6.666666666666667,44.99536172312489,326.93007798921224,0.2208987013440623,0.9724348863174751,1.0
420.0,7.0,45.6465520131619,334.3965818886728,0.2259436364112654,0.9724348863174751,1.0
440.0,7.333333333333333,46.29774230319892,341.8630857881334,0.23098857147846852,0.9724348863174751,1.0
460.0,7.666666666666667,46.94893259323595,349.3295896875941,0.23603350654567168,0.9724348863174751,1.0
480.0,8.0,47.600122883272974,356.79609358705466,0.24107844161287476,0.9724348863174751,1.0
500.0,8.333333333333334,48.25131317330998,364.26259748651523,0.24612337668007786,0.9724348863174751,1.0
520.0,8.666666666666666,48.90250346334702,371.72910138597587,0.251168311747281,0.9724348863174751,1.0
540.0,9.0,49.55369375338403,379.1956052854365,0.2562132468144841,0.9724348863174751,1.0
560.0,9.333333333333334,50.20488404342105,386.6621091848971,0.2612581818816872,0.9724348863174751,1.0
580.0,9.666666666666666,50.856074333458075,394.1286130843577,0.26630311694889036,0.9724348863174751,1.0
600.0,10.0,51.5072646234951,401.5951169838183,0.2713480520160934,0.9724348863174751,1.0
620.0,10.333333333333334,52.15845491353212,409.0616208832789,0.27639298708329657,0.9724348863174751,1.0
640.0,10.666666666666666,52.80964520356914,416.5281247827395,0.2814379221504997,0.9724348863174751,1.0
660.0,11.0,53.46083549360616,423.9946286822002,0.28648285721770284,0.9724348863174751,1.0
680.0,11.333333333333334,54.11202578364318,431.46113258166076,0.29152779228490594,0.9724348863174751,1.0
700.0,11.666666666666666,54.763216073680205,438.92763648112134,0.296572727352109,0.9724348863174751,1.0
720.0,12.0,55.41440636371723,446.3941403805819,0.3016176624193121,0.9724348863174751,1.0
740.0,12.333333333333334,56.06559665375425,453.8606442800426,0.30666259748651525,0.9724348863174751,1.0
760.0,12.666666666666666,56.71678694379127,461.3271481795032,0.31170753255371836,0.9724348863174751,1.0
780.0,13.0,57.367977233828285,468.79365207896376,0.31675246762092146,0.9724348863174751,1.0
800.0,13.333333333333334,58.019167523865306,476.26015597842445,0.3217974026881246,0.9724348863174751,1.0
820.0,13.666666666666666,58.67035781390233,483.726659877885,0.3268423377553277,0.9724348863174751,1.0
840.0,14.0,59.32154810393935,491.1931637773456,0.33188727282253083,0.9724348863174751,1.0
860.0,14.333333333333334,59.97273839397637,498.6596676768063,0.336932207889734,0.9724348863174751,1.0
880.0,14.666666666666666,60.62392868401339,506.12617157626687,0.3419771429569371,0.9724348863174751,1.0
900.0,15.0,61.275118974050415,513.5926754757274,0.34702207802414015,0.9724348863174751,1.0
920.0,15.333333333333334,61.92630926408744,521.0591793751881,0.35206701309134336,0.9724348863174751,1.0
940.0,15.666666666666666,62.57749955412446,528.5256832746487,0.3571119481585464,0.9724348863174751,1.0
960.0,16.0,63.22868984416148,535.9921871741093,0.3621568832257495,0.9724348863174751,1.0
980.0,16.333333333333332,63.8798801341985,543.4586910735699,0.3672018182929526,0.9724348863174751,1.0
1000.0,16.666666666666668,64.53107042423552,550.9251949730306,0.3722467533601558,0.9724348863174751,1.0
1020.0,17.0,65.18226071427254,558.3916988724911,0.3772916884273589,0.9724348863174751,1.0
1040.0,17.333333333333332,65.83345100430957,565.8582027719517,0.382336623494562,0.9724348863174751,1.0
1060.0,17.666666666666668,66.48464129434659,573.3247066714123,0.38738155856176504,0.9724348863174751,1.0
1080.0,18.0,67.13583158438361,580.791210570873,0.39242649362896825,0.9724348863174751,1.0
1100.0,18.333333333333332,67.78702187442063,588.2577144703336,0.3974714286961713,0.9724348863174751,1.0
1120.0,18.666666666666668,68.43821216445764,595.7242183697941,0.4025163637633744,0.9724348863174751,1.0
1140.0,19.0,69.08940245449466,603.1907222692547,0.4075612988305775,0.9724348863174751,1.0
1160.0,19.333333333333332,69.7405927445317,610.6572261687154,0.41260623389778067,0.9724348863174751,1.0
1180.0,19.666666666666668,70.3917830345687,618.123730068176,0.4176511689649838,0.9724348863174751,1.0
1200.0,20.0,71.04297332460573,625.5902339676366,0.4226961040321869,0.9724348863174751,1.0
1220.0,20.333333333333332,71.69416361464276,633.0567378670972,0.42774103909939004,0.9724348863174751,1.0
1240.0,20.666666666666668,72.34535390467977,640.5232417665578,0.43278597416659315,0.9724348863174751,1.0
1260.0,21.0,72.99654419471679,647.9897456660184,0.4378309092337962,0.9724348863174751,1.0
1280.0,21.333333333333332,73.64773448475383,655.4562495654791,0.44287584430099936,0.9724348863174751,1.0
1300.0,21.666666666666668,74.29892477479085,662.9227534649397,0.44792077936820246,0.9724348863174751,1.0
1320.0,22.0,74.95011506482787,670.3892573644004,0.4529657144354056,0.9724348863174751,1.0
