time_s,time_min,Psag_bar,liquid_level_m,trap_holdup,Qliq_out_kgs,stage
0.0,0.0,76.43869940923274,15.146573569107286,0.12,1.029823752649072,1.0
10.0,0.16666666666666666,76.59440933434549,17.065317296191406,0.13520140817324566,1.029823752649072,1.0
20.0,0.3333333333333333,76.75011925945824,18.98406102327553,0.15040281634649139,1.029823752649072,1.0
30.0,0.5,76.90582918457099,20.90280475035965,0.16560422451973705,1.029823752649072,1.0
40.0,0.6666666666666666,77.06153910968375,22.82154847744377,0.18080563269298272,1.029823752649072,1.0
50.0,0.8333333333333334,77.21724903479651,24.740292204527893,0.19600704086622844,1.029823752649072,1.0
60.0,1.0,77.37295895990925,26.659035931612017,0.21120844903947414,1.029823752649072,1.0
70.0,1.1666666666666667,77.52866888502201,28.577779658696137,0.2264098572127198,1.029823752649072,1.0
80.0,1.3333333333333333,77.68437881013476,30.496523385780257,0.24161126538596547,1.029823752649072,1.0
90.0,1.5,77.84008873524752,32.415267112864385,0.2568126735592112,1.029823752649072,1.0
100.0,1.6666666666666667,77.99579866036028,34.334010839948505,0.2720140817324569,1.029823752649072,1.0
110.0,1.8333333333333333,78.15150858547302,36.252754567032625,0.28721548990570256,1.029823752649072,1.0
120.0,2.0,78.30721851058578,38.171498294116745,0.3024168980789482,1.029823752649072,1.0
130.0,2.1666666666666665,78.46292843569854,40.090242021200865,0.3176183062521939,1.029823752649072,1.0
140.0,2.3333333333333335,78.61863836081129,42.008985748284985,0.3328197144254396,1.029823752649072,1.0
150.0,2.5,78.77434828592405,43.92772947536911,0.34802112259868534,1.029823752649072,1.0
160.0,2.6666666666666665,78.9300582110368,45.846473202453225,0.36322253077193095,1.029823752649072,1.0
170.0,2.8333333333333335,79.08576813614955,47.76521692953736,0.37842393894517673,1.029823752649072,1.0
180.0,3.0,79.24147806126231,49.68396065662148,0.3936253471184224,1.029823752649072,1.0
190.0,3.1666666666666665,79.39718798637506,51.6027043837056,0.40882675529166806,1.029823752649072,1.0
200.0,3.3333333333333335,79.55289791148782,53.52144811078972,0.42402816346491373,1.029823752649072,1.0
210.0,3.5,79.70860783660056,55.44019183787384,0.43922957163815946,1.029823752649072,1.0
220.0,3.6666666666666665,79.86431776171334,57.35893556495796,0.4544309798114051,1.029823752649072,1.0
230.0,3.8333333333333335,80.02002768682608,59.27767929204208,0.4696323879846508,1.029823752649072,1.0
240.0,4.0,80.17573761193884,61.1964230191262,0.48483379615789646,1.029823752649072,1.0
250.0,4.166666666666667,80.33144753705159,63.11516674621032,0.5000352043311421,1.029823752649072,1.0
260.0,4.333333333333333,80.48715746216435,65.03391047329444,0.5152366125043878,1.029823752649072,1.0
270.0,4.5,80.64286738727711,66.95265420037857,0.5304380206776336,1.029823752649072,1.0
280.0,4.666666666666667,80.79857731238985,68.8713979274627,0.5456394288508792,1.029823752649072,1.0
290.0,4.833333333333333,80.95428723750261,70.79014165454682,0.5608408370241249,1.029823752649072,1.0
300.0,5.0,81.10999716261536,72.70888538163094,0.5760422451973706,1.029823752649072,1.0
310.0,5.166666666666667,81.26570708772812,74.62762910871506,0.5912436533706162,1.029823752649072,1.0
320.0,5.333333333333333,81.42141701284088,76.54637283579918,0.606445061543862,1.029823752649072,1.0
330.0,5.5,81.57712693795362,78.4651165628833,0.6216464697171077,1.029823752649072,1.0
340.0,5.666666666666667,81.73283686306638,80.38386028996743,0.6368478778903535,1.029823752649072,1.0
350.0,5.833333333333333,81.88854678817913,82.30260401705154,0.652049286063599,1.029823752649072,1.0
360.0,6.0,82.04425671329189,84.22134774413567,0.6672506942368448,1.029823752649072,1.0
370.0,6.166666666666667,82.19996663840465,86.14009147121979,0.6824521024100905,1.029823752649072,1.0
