MEG_wt_pct,Teq_depression_C,hydrate_zone_frac,max_subcooling_C
0,0.0,0.5916666666666667,10.06581164974898
5,1.0999654229284612,0.5666666666666667,8.965846226820531
10,2.322149226182307,0.5375,7.743662423566661
15,3.6881193592307233,0.49583333333333335,6.377692290518269
20,5.224835758910191,0.4125,4.840975890838763
25,6.966447678546921,0.32083333333333336,3.099363971202081
30,8.9568613009889,0.15416666666666667,1.108950348760061
35,11.253492403806566,0.0,-1.187680754057567
40,13.932895357093843,0.0,-3.867083707344875
45,17.09946248370608,0.0,-7.033650833957097
50,20.899343035640765,0.0,-10.833531385891774
55,25.543641488005377,0.0,-15.477829838256412
