n_cells,P_out_bar,T_min_C,GVF_out,max_subcool_C,err_Pout_pct
40,71.75081401379944,5.10990549067435,0.08755518624840816,10.065811617000065,2.3508753160905003e-07
80,71.75081417739848,5.109905473496212,0.08755518588549512,10.065811648932026,7.0775195181605035e-09
120,71.75081418192516,5.109905473178344,0.08755518587557985,10.065811649658087,7.686252150184633e-10
180,71.75081418241308,5.109905473140202,0.08755518587450806,10.065811649740283,8.861134848465794e-11
240,71.75081418246295,5.109905473135996,0.08755518587439821,10.06581164974898,1.9112639983838824e-11
320,71.75081418247409,5.109905473135029,0.08755518587437368,10.065811649750913,3.584857862253707e-12
480,71.75081418247666,5.109905473134745,0.08755518587436792,10.065811649751424,0.0
