arc_length_m,x_horizontal_m,y_plan_m,seabed_elevation_m,depth_below_surface_m,inclination_deg
0.0,0.0,0.0,6.377755103653142,1473.622244896347,1.8417567283765763
26.71118530884808,26.71118530884808,0.31468229558091465,7.235397516706968,1472.764602483293,1.8358272412187255
53.42237061769616,53.42237061769616,0.6293559351585012,8.089675430664888,1471.9103245693352,1.8273387363353346
80.13355592654423,80.13355592654423,0.9440122629675332,8.939396229232738,1471.0606037707673,1.8162986639856284
106.84474123539232,106.84474123539232,1.2586426237189814,9.783371728825426,1470.2166282711746,1.8027184037993897
133.5559265442404,133.5559265442404,1.573238362838095,10.62042001829344,1469.3795799817065,1.7866132497607172
160.26711185308847,160.26711185308847,1.8877908267024643,11.44936728962147,1468.5506327103785,1.7680023892431767
186.97829716193655,186.97829716193655,2.2022913628800587,12.26904965669539,1467.7309503433046,1.7469088761123073
213.68948247078464,213.68948247078464,2.516731320367228,13.078314959252701,1466.9216850407472,1.7233595979182357
240.40066777963273,240.40066777963273,2.831102049826665,13.876024549154655,1466.1239754508454,1.6973852372066722
267.1118530884808,267.1118530884808,3.1453949038253297,14.661055056146338,1465.3389449438537,1.669020226983997
293.8230383973289,293.8230383973289,3.4596012370723086,15.432300130303219,1464.5676998696968,1.6383027003783024
320.53422370617693,320.53422370617693,3.773712406656626,16.18867215839964,1463.8113278416004,1.605274434545995
347.245409015025,347.245409015025,4.087719772284986,16.929103951475927,1463.070896048524,1.5699807888806254
373.9565943238731,373.9565943238731,4.401614696519439,17.65255040092643,1462.3474495990736,1.5324706375889463
400.6677796327212,400.6677796327212,4.7153885450149735,18.35799010048062,1461.6420098995193,1.4927962967065596
427.3789649415693,427.3789649415693,5.029032686757022,19.044426931503594,1460.9555730684965,1.45101344563537
454.09015025041737,454.09015025041737,5.342538494298879,19.710891609100244,1460.2891083908999,1.4071810432924834
480.80133555926545,480.80133555926545,5.655897343999014,20.35644318656979,1459.6435568134302,1.3613612389702163
507.51252086811354,507.51252086811354,5.96910061625828,20.980170515823325,1459.0198294841766,1.313619278016426
534.2237061769616,534.2237061769616,6.282139695757021,21.581193661446925,1458.4188063385532,1.2640234024535997
560.9348914858097,560.9348914858097,6.595005971692046,22.1586652661665,1457.8413347338335,1.2126447466659356
587.6460767946578,587.6460767946578,6.9076908380135,22.711771865547778,1457.2882281344523,1.159557228292177
614.3572621035058,614.3572621035058,7.220185693661575,23.239735149845252,1456.7602648501547,1.1048374344750542
641.0684474123539,641.0684474123539,7.532481942803114,23.741813170998192,1456.2581868290017,1.0485645036258047
667.779632721202,667.779632721202,7.844570995068056,24.217301492858624,1455.7826985071413,0.9908200028744593
694.49081803005,694.49081803005,8.156444265785717,24.665534282826606,1455.3344657171733,0.9316878013866557
721.2020033388982,721.2020033388982,8.468093176220961,25.085885343161166,1454.9141146568388,0.8712539397373105
747.9131886477462,747.9131886477462,8.779509153810135,25.477769080331065,1454.522230919669,0.80960649554339
774.6243739565944,774.6243739565944,9.090683632396917,25.840641410868237,1454.1593585891317,0.7468354455659852
801.3355592654424,801.3355592654424,9.401608052467912,26.17400060228733,1453.8259993977126,0.6830325245030092
828.0467445742905,828.0467445742905,9.712273861388125,26.47738804773837,1453.5226119522617,0.6182910807029751
854.7579298831386,854.7579298831386,10.0226725136362,26.750388973164682,1453.2496110268353,0.5527059290383539
881.4691151919866,881.4691151919866,10.332795471039496,26.992633075845486,1453.0073669241544,0.4863732011861554
908.1803005008347,908.1803005008347,10.642634203008948,27.203795093311847,1452.7962049066882,0.41939019357142127
934.8914858096828,934.8914858096828,10.952180186773699,27.383595301735184,1452.616404698265,0.35185521323511393
961.6026711185309,961.6026711185309,11.261424907615572,27.53179994299974,1452.4682000570003,0.28386742189604647
988.3138564273789,988.3138564273789,11.570359859103243,27.64822157978381,1452.351778420216,0.2155266784807695
1015.0250417362271,1015.0250417362271,11.878976543326267,27.732719378089,1452.267280621911,0.14693338040124654
1041.736227045075,1041.736227045075,12.187266471128812,27.785199316772093,1452.2148006832278,0.07818830386368064
1068.4474123539233,1068.4474123539233,12.495221162343162,27.80561432375022,1452.1943856762498,0.00939244349467548
1095.1585976627712,1095.1585976627712,12.802832146023006,27.793964338666584,1452.2060356613333,-0.059353148425630706
1121.8697829716193,1121.8697829716193,13.11009096067644,27.75029630192099,1452.249703698079,-0.12794752283386887
1148.5809682804675,1148.5809682804675,13.416989154498697,27.674704070086356,1452.3252959299136,-0.1962899945663431
1175.2921535893156,1175.2921535893156,13.723518285604673,27.56732825784966,1452.4326717421504,-0.2642803025642164
1202.0033388981635,1202.0033388981635,14.029669922261094,27.42835600673234,1452.5716439932676,-0.3318187693129954
1228.7145242070117,1228.7145242070117,14.33543564311849,27.258020680961785,1452.7419793190381,-0.3988064592296304
1255.4257095158598,1255.4257095158598,14.64080703744281,27.056601490981304,1452.9433985090186,-0.46514533571450445
1282.1368948247077,1282.1368948247077,14.945775705346794,26.824423045200945,1453.175576954799,-0.5307384165899698
1308.8480801335559,1308.8480801335559,15.250333258021032,26.56185483070567,1453.4381451692943,-0.5954899276510971
1335.559265442404,1335.559265442404,15.554471317964696,26.269310623750442,1453.7306893762495,-0.659305454061885
1362.2704507512522,1362.2704507512522,15.858181519216,25.947247830983066,1454.052752169017,-0.7220920893346704
1388.9816360601,1388.9816360601,16.161455507582318,25.596166762446167,1454.4038332375537,-0.7837585816394674
1415.6928213689482,1415.6928213689482,16.46428494087,25.216609837517677,1454.7833901624824,-0.8442154771969422
1442.4040066777964,1442.4040066777964,16.7666614891138,24.80916072505623,1455.1908392749438,-0.9033752605171184
1469.1151919866445,1469.1151919866445,17.068576834806038,24.374443419122017,1455.625556580878,-0.961152491256033
1495.8263772954924,1495.8263772954924,17.370022673125405,23.9131212517462,1456.0868787482539,-1.017463937470422
1522.5375626043406,1522.5375626043406,17.670990712165384,23.425895844322184,1456.5741041556778,-1.072228705060581
1549.2487479131887,1549.2487479131887,17.971472673162317,22.913505999289182,1457.086494000711,-1.1253683632034912
1575.9599332220366,1575.9599332220366,18.27146029072317,22.376726533873622,1457.6232734661264,-1.1768070655857417
1602.6711185308848,1602.6711185308848,18.57094531305288,21.816367057745907,1458.183632942254,-1.2264716672573026
1629.382303839733,1629.382303839733,18.869919502181318,21.233270696539087,1458.7667293034608,-1.2742918369394163
1656.093489148581,1656.093489148581,19.168374634189906,20.6283127632619,1459.3716872367381,-1.320200164627826
1682.804674457429,1682.804674457429,19.46630249943783,20.002399379721513,1459.9976006202785,-1.3641322643437526
