Property,Value
Internal diameter,406.4 mm (16 in)
Outside diameter (with coatings),515.7 mm
Wall thickness,18.3 mm (API 5L X65)
Wall roughness,46 um
Pipeline length,16.0 km
Mean water depth,1480 m
Terrain undulation amplitude,+/-18 m
Dominant sag depth,55 m below trend
Sag location,7.8 km
Max |inclination|,6.0 deg
