P_bar,Rs_scf_stb,Bo_rb_stb,mu_oil_cP,Z_factor,rho_gas_kgm3,mu_gas_cP
5.0,13.393377853118668,1.0399334245243246,3.0737598535991593,0.99228884083841,3.7943633626429047,0.01200275721170173
7.848101265822784,20.460955203978514,1.042618534349927,2.929657939253383,0.9876636464230557,5.983599962160067,0.01203514219798868
10.696202531645568,27.977239349110285,1.0454940050489159,2.792013886524701,0.9829328284530383,8.194317718096134,0.012072245908997647
13.544303797468354,35.85690151197665,1.0485298948287245,2.6623792237180646,0.9781152695681745,10.42734322195081,0.012113394272612097
16.39240506329114,44.044380582726994,1.0517069402299746,2.54119572153722,0.9732255362288241,12.683414996257591,0.012158199647090855
19.240506329113924,52.500278767874654,1.0550115990182996,2.4283610008857472,0.9682761507195029,14.963193180691947,0.012206418186989929
22.088607594936708,61.19503870138209,1.0584337661428063,2.323502830773001,0.9632784639582851,17.267263260149278,0.012257889590579385
24.93670886075949,70.10557467395476,1.0619655681246574,2.2261233796663062,0.9582430601489481,19.596137290687324,0.012312506742561988
27.784810126582276,79.2133018969894,1.065600664705706,2.135677948180778,0.9531799671794835,21.950253907418347,0.012370198563709132
30.63291139240506,88.50290183837099,1.0693338158028927,2.0516182991332004,0.9480987744568782,24.32997769330068,0.012430919493167138
33.48101265822785,97.96150692722881,1.0731605985379291,1.9734160519579467,0.9430087021461421,26.73559820893527,0.012494642620368996
36.32911392405063,107.57813923220502,1.0770772144614664,1.9005745925488273,0.9379186430220323,29.16732885753435,0.012561354967962247
39.177215189873415,117.34331063688238,1.0810803536698241,1.8326343094432738,0.9328371880500542,31.625305696517977,0.012631054112377164
42.025316455696206,127.24872989269792,1.0851670962578779,1.7691739703940603,0.9277726419186276,34.109586273471926,0.012703745672824014
44.87341772151898,137.28708280048326,1.0893348390984006,1.7098099137334166,0.9227330321952045,36.62014854483847,0.012779441384375485
47.72151898734177,147.4518638638059,1.0935812402910736,1.654194059752179,0.9177261143721044,39.15688992388678,0.012858157575691352
